type,objective,rewrite_prompt,explain_prompt
ADJECTIVE,hilarious,Rewrite this text but do it using hilarious tone,
ADJECTIVE,historical,Rewrite this text but do it using historical tone,
ADJECTIVE,honest,Rewrite this text but do it using honest tone,
ADJECTIVE,hopeful,Rewrite this text but do it using hopeful tone,
ADJECTIVE,humorous,Rewrite this text but do it using humorous tone,
ADJECTIVE,iconic,Rewrite this text but do it using iconic tone,
ADJECTIVE,imaginative,Rewrite this text but do it using imaginative tone,
ADJECTIVE,impassioned,Rewrite this text but do it using impassioned tone,
ADJECTIVE,impressive,Rewrite this text but do it using impressive tone,
ADJECTIVE,incisive,Rewrite this text but do it using incisive tone,
ADJECTIVE,inclusive,Rewrite this text but do it using inclusive tone,
ADJECTIVE,informal,Rewrite this text but do it using informal tone,
ADJECTIVE,informative,Rewrite this text but do it using informative tone,
ADJECTIVE,ingenious,Rewrite this text but do it using ingenious tone,
ADJECTIVE,inquisitive,Rewrite this text but do it using inquisitive tone,
ADJECTIVE,insightful,Rewrite this text but do it using insightful tone,
ADJECTIVE,inspiring,Rewrite this text but do it using inspiring tone,
ADJECTIVE,intense,Rewrite this text but do it using intense tone,
ADJECTIVE,intimate,Rewrite this text but do it using intimate tone,
ADJECTIVE,intricate,Rewrite this text but do it using intricate tone,
ADJECTIVE,invigorating,Rewrite this text but do it using invigorating tone,
ADJECTIVE,irreverent,Rewrite this text but do it using irreverent tone,
ADJECTIVE,ironic,Rewrite this text but do it using ironic tone,
ADJECTIVE,lively,Rewrite this text but do it using lively tone,
ADJECTIVE,literary,Rewrite this text but do it using literary tone,
ADJECTIVE,magical,Rewrite this text but do it using magical tone,
ADJECTIVE,meditative,Rewrite this text but do it using meditative tone,
ADJECTIVE,melancholic,Rewrite this text but do it using melancholic tone,
ADJECTIVE,mysterious,Rewrite this text but do it using mysterious tone,
ADJECTIVE,mythic,Rewrite this text but do it using mythic tone,
ADJECTIVE,nostalgic,Rewrite this text but do it using nostalgic tone,
ADJECTIVE,observational,Rewrite this text but do it using observational tone,
ADJECTIVE,optimistic,Rewrite this text but do it using optimistic tone,
ADJECTIVE,original,Rewrite this text but do it using original tone,
ADJECTIVE,passionate,Rewrite this text but do it using passionate tone,
ADJECTIVE,poetic,Rewrite this text but do it using poetic tone,
ADJECTIVE,playful,Rewrite this text but do it using playful tone,
ADJECTIVE,poignant,Rewrite this text but do it using poignant tone,
ADJECTIVE,political,Rewrite this text but do it using political tone,
ADJECTIVE,powerful,Rewrite this text but do it using powerful tone,
ADJECTIVE,provocative,Rewrite this text but do it using provocative tone,
ADJECTIVE,psychological,Rewrite this text but do it using psychological tone,
ADJECTIVE,quirky,Rewrite this text but do it using quirky tone,
ADJECTIVE,reflective,Rewrite this text but do it using reflective tone,
ADJECTIVE,relevant,Rewrite this text but do it using relevant tone,
ADJECTIVE,resonant,Rewrite this text but do it using resonant tone,
ADJECTIVE,romantic,Rewrite this text but do it using romantic tone,
ADJECTIVE,satirical,Rewrite this text but do it using satirical tone,
ADJECTIVE,scathing,Rewrite this text but do it using scathing tone,
ADJECTIVE,sensational,Rewrite this text but do it using sensational tone,
ADJECTIVE,sentimental,Rewrite this text but do it using sentimental tone,
ADJECTIVE,serious,Rewrite this text but do it using serious tone,
ADJECTIVE,sharp,Rewrite this text but do it using sharp tone,
ADJECTIVE,soothing,Rewrite this text but do it using soothing tone,
ADJECTIVE,sophisticated,Rewrite this text but do it using sophisticated tone,
ADJECTIVE,spooky,Rewrite this text but do it using spooky tone,
ADJECTIVE,stark,Rewrite this text but do it using stark tone,
ADJECTIVE,stirring,Rewrite this text but do it using stirring tone,
ADJECTIVE,story-driven,Rewrite this text but do it using story-driven tone,
ADJECTIVE,striking,Rewrite this text but do it using striking tone,
ADJECTIVE,subtle,Rewrite this text but do it using subtle tone,
ADJECTIVE,surreal,Rewrite this text but do it using surreal tone,
ADJECTIVE,suspenseful,Rewrite this text but do it using suspenseful tone,
ADJECTIVE,symbolic,Rewrite this text but do it using symbolic tone,
ADJECTIVE,thought-provoking,Rewrite this text but do it using thought-provoking tone,
ADJECTIVE,timely,Rewrite this text but do it using timely tone,
ADJECTIVE,touching,Rewrite this text but do it using touching tone,
ADJECTIVE,traditional,Rewrite this text but do it using traditional tone,
ADJECTIVE,tragic,Rewrite this text but do it using tragic tone,
ADJECTIVE,transformative,Rewrite this text but do it using transformative tone,
ADJECTIVE,transparent,Rewrite this text but do it using transparent tone,
ADJECTIVE,trenchant,Rewrite this text but do it using trenchant tone,
ADJECTIVE,triumphant,Rewrite this text but do it using triumphant tone,
ADJECTIVE,unconventional,Rewrite this text but do it using unconventional tone,
ADJECTIVE,unexpected,Rewrite this text but do it using unexpected tone,
ADJECTIVE,unforgettable,Rewrite this text but do it using unforgettable tone,
ADJECTIVE,unsettling,Rewrite this text but do it using unsettling tone,
ADJECTIVE,unusual,Rewrite this text but do it using unusual tone,
ADJECTIVE,uplifting,Rewrite this text but do it using uplifting tone,
ADJECTIVE,urgent,Rewrite this text but do it using urgent tone,
ADJECTIVE,vivid,Rewrite this text but do it using vivid tone,
ADJECTIVE,witty,Rewrite this text but do it using witty tone,
ADJECTIVE,wry,Rewrite this text but do it using wry tone,
ADJECTIVE,yearning,Rewrite this text but do it using yearning tone,
ADJECTIVE,youthful,Rewrite this text but do it using youthful tone,
ADJECTIVE,zealous,Rewrite this text but do it using zealous tone,
ADJECTIVE,absurd,Rewrite this text but do it using absurd tone,
ADJECTIVE,alluring,Rewrite this text but do it using alluring tone,
ADJECTIVE,ambitious,Rewrite this text but do it using ambitious tone,
ADJECTIVE,avant-garde,Rewrite this text but do it using avant-garde tone,
ADJECTIVE,candid,Rewrite this text but do it using candid tone,
ADJECTIVE,cathartic,Rewrite this text but do it using cathartic tone,
ADJECTIVE,challenging,Rewrite this text but do it using challenging tone,
ADJECTIVE,cynical,Rewrite this text but do it using cynical tone,
ADJECTIVE,daring,Rewrite this text but do it using daring tone,
ADJECTIVE,delicate,Rewrite this text but do it using delicate tone,
ADJECTIVE,discerning,Rewrite this text but do it using discerning tone,
ADJECTIVE,disillusioned,Rewrite this text but do it using disillusioned tone,
ADJECTIVE,droll,Rewrite this text but do it using droll tone,
ADJECTIVE,eclectic,Rewrite this text but do it using eclectic tone,
ADJECTIVE,electric,Rewrite this text but do it using electric tone,
ADJECTIVE,enigmatic,Rewrite this text but do it using enigmatic tone,
ADJECTIVE,exhilarating,Rewrite this text but do it using exhilarating tone,
ADJECTIVE,fervent,Rewrite this text but do it using fervent tone,
ADJECTIVE,forward-thinking,Rewrite this text but do it using forward-thinking tone,
ADJECTIVE,frivolous,Rewrite this text but do it using frivolous tone,
ADJECTIVE,gossamer,Rewrite this text but do it using gossamer tone,
ADJECTIVE,groundbreaking,Rewrite this text but do it using groundbreaking tone,
ADJECTIVE,haphazard,Rewrite this text but do it using haphazard tone,
ADJECTIVE,incandescent,Rewrite this text but do it using incandescent tone,
ADJECTIVE,irreverent,Rewrite this text but do it using irreverent tone,
ADJECTIVE,jarring,Rewrite this text but do it using jarring tone,
ADJECTIVE,jubilant,Rewrite this text but do it using jubilant tone,
ADJECTIVE,kinetic,Rewrite this text but do it using kinetic tone,
ADJECTIVE,lackadaisical,Rewrite this text but do it using lackadaisical tone,
ADJECTIVE,languid,Rewrite this text but do it using languid tone,
ADJECTIVE,luminous,Rewrite this text but do it using luminous tone,
ADJECTIVE,macabre,Rewrite this text but do it using macabre tone,
ADJECTIVE,maverick,Rewrite this text but do it using maverick tone,
ADJECTIVE,measured,Rewrite this text but do it using measured tone,
ADJECTIVE,mellifluous,Rewrite this text but do it using mellifluous tone,
ADJECTIVE,mercurial,Rewrite this text but do it using mercurial tone,
ADJECTIVE,meticulous,Rewrite this text but do it using meticulous tone,
ADJECTIVE,numinous,Rewrite this text but do it using numinous tone,
ADJECTIVE,opulent,Rewrite this text but do it using opulent tone,
ADJECTIVE,panoramic,Rewrite this text but do it using panoramic tone,
ADJECTIVE,parsimonious,Rewrite this text but do it using parsimonious tone,
ADJECTIVE,perceptive,Rewrite this text but do it using perceptive tone,
ADJECTIVE,prosaic,Rewrite this text but do it using prosaic tone,
AUTHOR,William Shakespeare,Rewrite this text but do it using the writing style of William Shakespeare,Describe the writing style of William Shakespeare in 40 words
AUTHOR,Jane Austen,Rewrite this text but do it using the writing style of Jane Austen,Describe the writing style of Jane Austen in 40 words
AUTHOR,Charles Dickens,Rewrite this text but do it using the writing style of Charles Dickens,Describe the writing style of Charles Dickens in 40 words
AUTHOR,Emily Dickinson,Rewrite this text but do it using the writing style of Emily Dickinson,Describe the writing style of Emily Dickinson in 40 words
AUTHOR,Johann Sebastian Bach,Rewrite this text but do it using the writing style of Johann Sebastian Bach,Describe the writing style of Johann Sebastian Bach in 40 words
AUTHOR,J.R.R. Tolkien,Rewrite this text but do it using the writing style of J.R.R. Tolkien,Describe the writing style of J.R.R. Tolkien in 40 words
AUTHOR,Virginia Woolf,Rewrite this text but do it using the writing style of Virginia Woolf,Describe the writing style of Virginia Woolf in 40 words
AUTHOR,Mark Twain,Rewrite this text but do it using the writing style of Mark Twain,Describe the writing style of Mark Twain in 40 words
AUTHOR,Oscar Wilde,Rewrite this text but do it using the writing style of Oscar Wilde,Describe the writing style of Oscar Wilde in 40 words
AUTHOR,Emily Brontë,Rewrite this text but do it using the writing style of Emily Brontë,Describe the writing style of Emily Brontë in 40 words
AUTHOR,George Orwell,Rewrite this text but do it using the writing style of George Orwell,Describe the writing style of George Orwell in 40 words
AUTHOR,Samuel Beckett,Rewrite this text but do it using the writing style of Samuel Beckett,Describe the writing style of Samuel Beckett in 40 words
AUTHOR,William Wordsworth,Rewrite this text but do it using the writing style of William Wordsworth,Describe the writing style of William Wordsworth in 40 words
AUTHOR,George Frideric Handel,Rewrite this text but do it using the writing style of George Frideric Handel,Describe the writing style of George Frideric Handel in 40 words
AUTHOR,Ernest Hemingway,Rewrite this text but do it using the writing style of Ernest Hemingway,Describe the writing style of Ernest Hemingway in 40 words
AUTHOR,W.B. Yeats,Rewrite this text but do it using the writing style of W.B. Yeats,Describe the writing style of W.B. Yeats in 40 words
AUTHOR,F. Scott Fitzgerald,Rewrite this text but do it using the writing style of F. Scott Fitzgerald,Describe the writing style of F. Scott Fitzgerald in 40 words
AUTHOR,Leo Tolstoy,Rewrite this text but do it using the writing style of Leo Tolstoy,Describe the writing style of Leo Tolstoy in 40 words
AUTHOR,Agatha Christie,Rewrite this text but do it using the writing style of Agatha Christie,Describe the writing style of Agatha Christie in 40 words
AUTHOR,Ludwig van Beethoven,Rewrite this text but do it using the writing style of Ludwig van Beethoven,Describe the writing style of Ludwig van Beethoven in 40 words
AUTHOR,Tennessee Williams,Rewrite this text but do it using the writing style of Tennessee Williams,Describe the writing style of Tennessee Williams in 40 words
AUTHOR,John Keats,Rewrite this text but do it using the writing style of John Keats,Describe the writing style of John Keats in 40 words
AUTHOR,Walt Whitman,Rewrite this text but do it using the writing style of Walt Whitman,Describe the writing style of Walt Whitman in 40 words
AUTHOR,Charlotte Brontë,Rewrite this text but do it using the writing style of Charlotte Brontë,Describe the writing style of Charlotte Brontë in 40 words
AUTHOR,James Joyce,Rewrite this text but do it using the writing style of James Joyce,Describe the writing style of James Joyce in 40 words
AUTHOR,Edith Wharton,Rewrite this text but do it using the writing style of Edith Wharton,Describe the writing style of Edith Wharton in 40 words
AUTHOR,Henrik Ibsen,Rewrite this text but do it using the writing style of Henrik Ibsen,Describe the writing style of Henrik Ibsen in 40 words
AUTHOR,Joseph Conrad,Rewrite this text but do it using the writing style of Joseph Conrad,Describe the writing style of Joseph Conrad in 40 words
AUTHOR,Langston Hughes,Rewrite this text but do it using the writing style of Langston Hughes,Describe the writing style of Langston Hughes in 40 words
AUTHOR,Robert Frost,Rewrite this text but do it using the writing style of Robert Frost,Describe the writing style of Robert Frost in 40 words
AUTHOR,Harper Lee,Rewrite this text but do it using the writing style of Harper Lee,Describe the writing style of Harper Lee in 40 words
AUTHOR,Anton Chekhov,Rewrite this text but do it using the writing style of Anton Chekhov,Describe the writing style of Anton Chekhov in 40 words
AUTHOR,Maya Angelou,Rewrite this text but do it using the writing style of Maya Angelou,Describe the writing style of Maya Angelou in 40 words
AUTHOR,Herman Melville,Rewrite this text but do it using the writing style of Herman Melville,Describe the writing style of Herman Melville in 40 words
AUTHOR,George Bernard Shaw,Rewrite this text but do it using the writing style of George Bernard Shaw,Describe the writing style of George Bernard Shaw in 40 words
AUTHOR,Thomas Hardy,Rewrite this text but do it using the writing style of Thomas Hardy,Describe the writing style of Thomas Hardy in 40 words
AUTHOR,Louisa May Alcott,Rewrite this text but do it using the writing style of Louisa May Alcott,Describe the writing style of Louisa May Alcott in 40 words
AUTHOR,Edgar Allan Poe,Rewrite this text but do it using the writing style of Edgar Allan Poe,Describe the writing style of Edgar Allan Poe in 40 words
AUTHOR,Sylvia Plath,Rewrite this text but do it using the writing style of Sylvia Plath,Describe the writing style of Sylvia Plath in 40 words
AUTHOR,T.S. Eliot,Rewrite this text but do it using the writing style of T.S. Eliot,Describe the writing style of T.S. Eliot in 40 words
AUTHOR,Aldous Huxley,Rewrite this text but do it using the writing style of Aldous Huxley,Describe the writing style of Aldous Huxley in 40 words
AUTHOR,Virginia Woolf,Rewrite this text but do it using the writing style of Virginia Woolf,Describe the writing style of Virginia Woolf in 40 words
AUTHOR,Beatrix Potter,Rewrite this text but do it using the writing style of Beatrix Potter,Describe the writing style of Beatrix Potter in 40 words
AUTHOR,William Faulkner,Rewrite this text but do it using the writing style of William Faulkner,Describe the writing style of William Faulkner in 40 words
AUTHOR,Johann Wolfgang von Goethe,Rewrite this text but do it using the writing style of Johann Wolfgang von Goethe,Describe the writing style of Johann Wolfgang von Goethe in 40 words
AUTHOR,Pablo Picasso,Rewrite this text but do it using the writing style of Pablo Picasso,Describe the writing style of Pablo Picasso in 40 words
AUTHOR,Roald Dahl,Rewrite this text but do it using the writing style of Roald Dahl,Describe the writing style of Roald Dahl in 40 words
AUTHOR,C.S. Lewis,Rewrite this text but do it using the writing style of C.S. Lewis,Describe the writing style of C.S. Lewis in 40 words
AUTHOR,Charles Baudelaire,Rewrite this text but do it using the writing style of Charles Baudelaire,Describe the writing style of Charles Baudelaire in 40 words
AUTHOR,Mary Shelley,Rewrite this text but do it using the writing style of Mary Shelley,Describe the writing style of Mary Shelley in 40 words
AUTHOR,Gabriel García Márquez,Rewrite this text but do it using the writing style of Gabriel García Márquez,Describe the writing style of Gabriel García Márquez in 40 words
AUTHOR,Franz Kafka,Rewrite this text but do it using the writing style of Franz Kafka,Describe the writing style of Franz Kafka in 40 words
AUTHOR,John Milton,Rewrite this text but do it using the writing style of John Milton,Describe the writing style of John Milton in 40 words
AUTHOR,Lewis Carroll,Rewrite this text but do it using the writing style of Lewis Carroll,Describe the writing style of Lewis Carroll in 40 words
AUTHOR,Gabriel Fauré,Rewrite this text but do it using the writing style of Gabriel Fauré,Describe the writing style of Gabriel Fauré in 40 words
AUTHOR,Claude Debussy,Rewrite this text but do it using the writing style of Claude Debussy,Describe the writing style of Claude Debussy in 40 words
AUTHOR,William Blake,Rewrite this text but do it using the writing style of William Blake,Describe the writing style of William Blake in 40 words
AUTHOR,Emily Carr,Rewrite this text but do it using the writing style of Emily Carr,Describe the writing style of Emily Carr in 40 words
AUTHOR,Margaret Atwood,Rewrite this text but do it using the writing style of Margaret Atwood,Describe the writing style of Margaret Atwood in 40 words
AUTHOR,Stephen King,Rewrite this text but do it using the writing style of Stephen King,Describe the writing style of Stephen King in 40 words
AUTHOR,Gabriel Faure,Rewrite this text but do it using the writing style of Gabriel Faure,Describe the writing style of Gabriel Faure in 40 words
AUTHOR,Aaron Copland,Rewrite this text but do it using the writing style of Aaron Copland,Describe the writing style of Aaron Copland in 40 words
AUTHOR,Ralph Vaughan Williams,Rewrite this text but do it using the writing style of Ralph Vaughan Williams,Describe the writing style of Ralph Vaughan Williams in 40 words
AUTHOR,Benjamin Britten,Rewrite this text but do it using the writing style of Benjamin Britten,Describe the writing style of Benjamin Britten in 40 words
AUTHOR,Gustav Holst,Rewrite this text but do it using the writing style of Gustav Holst,Describe the writing style of Gustav Holst in 40 words
AUTHOR,John Cage,Rewrite this text but do it using the writing style of John Cage,Describe the writing style of John Cage in 40 words
AUTHOR,Leonard Bernstein,Rewrite this text but do it using the writing style of Leonard Bernstein,Describe the writing style of Leonard Bernstein in 40 words
AUTHOR,Igor Stravinsky,Rewrite this text but do it using the writing style of Igor Stravinsky,Describe the writing style of Igor Stravinsky in 40 words
AUTHOR,Pyotr Ilyich Tchaikovsky,Rewrite this text but do it using the writing style of Pyotr Ilyich Tchaikovsky,Describe the writing style of Pyotr Ilyich Tchaikovsky in 40 words
AUTHOR,Sergei Rachmaninoff,Rewrite this text but do it using the writing style of Sergei Rachmaninoff,Describe the writing style of Sergei Rachmaninoff in 40 words
AUTHOR,Gustav Mahler,Rewrite this text but do it using the writing style of Gustav Mahler,Describe the writing style of Gustav Mahler in 40 words
AUTHOR,Johannes Brahms,Rewrite this text but do it using the writing style of Johannes Brahms,Describe the writing style of Johannes Brahms in 40 words
AUTHOR,Richard Wagner,Rewrite this text but do it using the writing style of Richard Wagner,Describe the writing style of Richard Wagner in 40 words
AUTHOR,Giuseppe Verdi,Rewrite this text but do it using the writing style of Giuseppe Verdi,Describe the writing style of Giuseppe Verdi in 40 words
AUTHOR,Johann Strauss II,Rewrite this text but do it using the writing style of Johann Strauss II,Describe the writing style of Johann Strauss II in 40 words
AUTHOR,Frédéric Chopin,Rewrite this text but do it using the writing style of Frédéric Chopin,Describe the writing style of Frédéric Chopin in 40 words
AUTHOR,Franz Liszt,Rewrite this text but do it using the writing style of Franz Liszt,Describe the writing style of Franz Liszt in 40 words
AUTHOR,Wolfgang Amadeus Mozart,Rewrite this text but do it using the writing style of Wolfgang Amadeus Mozart,Describe the writing style of Wolfgang Amadeus Mozart in 40 words
AUTHOR,Ludwig van Beethoven,Rewrite this text but do it using the writing style of Ludwig van Beethoven,Describe the writing style of Ludwig van Beethoven in 40 words
AUTHOR,Johann Sebastian Bach,Rewrite this text but do it using the writing style of Johann Sebastian Bach,Describe the writing style of Johann Sebastian Bach in 40 words
AUTHOR,William Shakespeare,Rewrite this text but do it using the writing style of William Shakespeare,Describe the writing style of William Shakespeare in 40 words
AUTHOR,Henrik Ibsen,Rewrite this text but do it using the writing style of Henrik Ibsen,Describe the writing style of Henrik Ibsen in 40 words
AUTHOR,Anton Chekhov,Rewrite this text but do it using the writing style of Anton Chekhov,Describe the writing style of Anton Chekhov in 40 words
AUTHOR,George Bernard Shaw,Rewrite this text but do it using the writing style of George Bernard Shaw,Describe the writing style of George Bernard Shaw in 40 words
AUTHOR,Arthur Miller,Rewrite this text but do it using the writing style of Arthur Miller,Describe the writing style of Arthur Miller in 40 words
AUTHOR,Tennessee Williams,Rewrite this text but do it using the writing style of Tennessee Williams,Describe the writing style of Tennessee Williams in 40 words
AUTHOR,Samuel Beckett,Rewrite this text but do it using the writing style of Samuel Beckett,Describe the writing style of Samuel Beckett in 40 words
AUTHOR,August Wilson,Rewrite this text but do it using the writing style of August Wilson,Describe the writing style of August Wilson in 40 words
AUTHOR,Lorraine Hansberry,Rewrite this text but do it using the writing style of Lorraine Hansberry,Describe the writing style of Lorraine Hansberry in 40 words
AUTHOR,Tom Stoppard,Rewrite this text but do it using the writing style of Tom Stoppard,Describe the writing style of Tom Stoppard in 40 words
AUTHOR,Edward Albee,Rewrite this text but do it using the writing style of Edward Albee,Describe the writing style of Edward Albee in 40 words
AUTHOR,Neil Simon,Rewrite this text but do it using the writing style of Neil Simon,Describe the writing style of Neil Simon in 40 words
AUTHOR,Bertolt Brecht,Rewrite this text but do it using the writing style of Bertolt Brecht,Describe the writing style of Bertolt Brecht in 40 words
AUTHOR,Eugene O'Neill,Rewrite this text but do it using the writing style of Eugene O'Neill,Describe the writing style of Eugene O'Neill in 40 words
AUTHOR,Noel Coward,Rewrite this text but do it using the writing style of Noel Coward,Describe the writing style of Noel Coward in 40 words
AUTHOR,Harold Pinter,Rewrite this text but do it using the writing style of Harold Pinter,Describe the writing style of Harold Pinter in 40 words
AUTHOR,Oscar Wilde,Rewrite this text but do it using the writing style of Oscar Wilde,Describe the writing style of Oscar Wilde in 40 words
AUTHOR,David Mamet,Rewrite this text but do it using the writing style of David Mamet,Describe the writing style of David Mamet in 40 words
AUTHOR,John Steinbeck,Rewrite this text but do it using the writing style of John Steinbeck,Describe the writing style of John Steinbeck in 40 words
AUTHOR,Virginia Woolf,Rewrite this text but do it using the writing style of Virginia Woolf,Describe the writing style of Virginia Woolf in 40 words
AUTHOR,J.K. Rowling,Rewrite this text but do it using the writing style of J.K. Rowling,Describe the writing style of J.K. Rowling in 40 words
AUTHOR,George Orwell,Rewrite this text but do it using the writing style of George Orwell,Describe the writing style of George Orwell in 40 words
AUTHOR,Ernest Hemingway,Rewrite this text but do it using the writing style of Ernest Hemingway,Describe the writing style of Ernest Hemingway in 40 words
AUTHOR,F. Scott Fitzgerald,Rewrite this text but do it using the writing style of F. Scott Fitzgerald,Describe the writing style of F. Scott Fitzgerald in 40 words
AUTHOR,Toni Morrison,Rewrite this text but do it using the writing style of Toni Morrison,Describe the writing style of Toni Morrison in 40 words
AUTHOR,James Joyce,Rewrite this text but do it using the writing style of James Joyce,Describe the writing style of James Joyce in 40 words
AUTHOR,Harper Lee,Rewrite this text but do it using the writing style of Harper Lee,Describe the writing style of Harper Lee in 40 words
AUTHOR,Joseph Heller,Rewrite this text but do it using the writing style of Joseph Heller,Describe the writing style of Joseph Heller in 40 words
AUTHOR,Kurt Vonnegut,Rewrite this text but do it using the writing style of Kurt Vonnegut,Describe the writing style of Kurt Vonnegut in 40 words
AUTHOR,Salman Rushdie,Rewrite this text but do it using the writing style of Salman Rushdie,Describe the writing style of Salman Rushdie in 40 words
AUTHOR,Kazuo Ishiguro,Rewrite this text but do it using the writing style of Kazuo Ishiguro,Describe the writing style of Kazuo Ishiguro in 40 words
AUTHOR,Don DeLillo,Rewrite this text but do it using the writing style of Don DeLillo,Describe the writing style of Don DeLillo in 40 words
AUTHOR,Philip Roth,Rewrite this text but do it using the writing style of Philip Roth,Describe the writing style of Philip Roth in 40 words
AUTHOR,Alice Munro,Rewrite this text but do it using the writing style of Alice Munro,Describe the writing style of Alice Munro in 40 words
AUTHOR,Cormac McCarthy,Rewrite this text but do it using the writing style of Cormac McCarthy,Describe the writing style of Cormac McCarthy in 40 words
AUTHOR,Thomas Pynchon,Rewrite this text but do it using the writing style of Thomas Pynchon,Describe the writing style of Thomas Pynchon in 40 words
AUTHOR,Margaret Atwood,Rewrite this text but do it using the writing style of Margaret Atwood,Describe the writing style of Margaret Atwood in 40 words
AUTHOR,Doris Lessing,Rewrite this text but do it using the writing style of Doris Lessing,Describe the writing style of Doris Lessing in 40 words
AUTHOR,Milan Kundera,Rewrite this text but do it using the writing style of Milan Kundera,Describe the writing style of Milan Kundera in 40 words
AUTHOR,Gabriel García Márquez,Rewrite this text but do it using the writing style of Gabriel García Márquez,Describe the writing style of Gabriel García Márquez in 40 words
AUTHOR,Chinua Achebe,Rewrite this text but do it using the writing style of Chinua Achebe,Describe the writing style of Chinua Achebe in 40 words
